,username,verified,name,account_id,description,created_at,location,followers_count,following_count,tweet_count,listed_count,pinned_tweet_id,profile_image_url,url,protected
0,FacebooksTop10,False,Facebook's Top 10,1285358566300237826,"A bot that posts the sources of the 10 top-performing link posts by U.S. Facebook pages every day, ranked by interactions. (By @kevinroose/@fabiogiglietto)",2020-07-20T23:40:18.000Z,data from CrowdTangle,45955,1,763,0,1318315929126666240,https://pbs.twimg.com/profile_images/1286008801166897152/OftNV2NK_normal.jpg,,False
1,citizenbrowser,False,Trending on Facebook,1451590999088803841,An archive of @themarkup’s independent check on top Facebook content that ran from November 2021 through July 2022. See what the team is up to at https://t.co/VRTMJVjc4F.,2021-10-22T16:51:43.000Z,,1305,1,416,22,1461318557858422787,https://pbs.twimg.com/profile_images/1456276361346228224/ooOKuFm0_normal.jpg,,False
